Type,Key,Affinity
genre,Sci-Fi,0.6281
genre,TV,0.7394
genre,Action,0.6268
genre,Adventure,0.6575
genre,Animation,1.0
genre,Comedy,0.6174
genre,Crime,0.6368
genre,Documentary,0.8451
genre,Drama,0.6398
genre,Family,0.7392
genre,Fantasy,0.7746
genre,History,0.6652
genre,Horror,0.7914
genre,Music,0.671
genre,Mystery,0.7049
genre,Romance,0.6588
genre,Thriller,0.6641
genre,War,0.6409
genre,Western,0.662
language,English,0.5229
language,Hindi,0.781
language,Japanese,0.9857
language,Korean,1.0
language,Nepali,0.25
