Track,UserId,Archetype,Model,Train_Count,Holdout_Pos,Candidate_Count,Precision@10,Precision@10_Ceiling,Recall@10,HR@10,MRR@10,NDCG@10,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Preference_Escape@10
real,821,korean,Popularity,61,4,1004,0.1,0.4,0.25,1.0,0.5,0.2463,4,9,0.4,0.6
real,821,korean,CF_ColdStart,61,4,1004,0.0,0.4,0.0,0.0,0.0,0.0,3,12,0.5,0.5
real,821,korean,CBF,61,4,1004,0.0,0.4,0.0,0.0,0.0,0.0,4,9,0.6,0.4
real,821,korean,Affinity_Only,61,4,1004,0.1,0.4,0.25,1.0,0.1,0.1128,1,7,1.0,0.0
real,821,korean,NonLocal_Hybrid,61,4,1004,0.1,0.4,0.25,1.0,0.1667,0.1391,4,12,0.7,0.3
real,821,korean,Localized_Hybrid,61,4,1004,0.1,0.4,0.25,1.0,0.5,0.2463,3,10,1.0,0.0
real,1309,hollywood,Popularity,65,12,1012,0.0,1.0,0.0,0.0,0.0,0.0,5,10,0.4,0.6
real,1309,hollywood,CF_ColdStart,65,12,1012,0.2,1.0,0.1667,1.0,0.25,0.1682,3,12,0.7,0.3
real,1309,hollywood,CBF,65,12,1012,0.1,1.0,0.0833,1.0,0.3333,0.11,3,8,0.8,0.2
real,1309,hollywood,Affinity_Only,65,12,1012,0.2,1.0,0.1667,1.0,1.0,0.2895,1,9,1.0,0.0
real,1309,hollywood,NonLocal_Hybrid,65,12,1012,0.3,1.0,0.25,1.0,1.0,0.3689,1,8,1.0,0.0
real,1309,hollywood,Localized_Hybrid,65,12,1012,0.3,1.0,0.25,1.0,1.0,0.3689,1,8,1.0,0.0
real,1416,hollywood,Popularity,78,15,1016,0.0,1.0,0.0,0.0,0.0,0.0,5,13,0.4,0.6
real,1416,hollywood,CF_ColdStart,78,15,1016,0.0,1.0,0.0,0.0,0.0,0.0,3,14,0.7,0.3
real,1416,hollywood,CBF,78,15,1016,0.1,1.0,0.0667,1.0,0.5,0.1389,2,9,0.9,0.1
real,1416,hollywood,Affinity_Only,78,15,1016,0.0,1.0,0.0,0.0,0.0,0.0,1,3,1.0,0.0
real,1416,hollywood,NonLocal_Hybrid,78,15,1016,0.2,1.0,0.1333,1.0,0.3333,0.1884,4,8,0.7,0.3
real,1416,hollywood,Localized_Hybrid,78,15,1016,0.3,1.0,0.2,1.0,0.3333,0.2547,1,10,1.0,0.0
real,2428,korean,Popularity,210,50,1050,0.4,1.0,0.08,1.0,0.5,0.3967,3,9,0.7,0.3
real,2428,korean,CF_ColdStart,210,50,1050,0.2,1.0,0.04,1.0,0.3333,0.1952,6,10,0.4,0.6
real,2428,korean,CBF,210,50,1050,0.2,1.0,0.04,1.0,0.25,0.1799,2,7,0.9,0.1
real,2428,korean,Affinity_Only,210,50,1050,0.3,1.0,0.06,1.0,0.5,0.3341,1,8,1.0,0.0
real,2428,korean,NonLocal_Hybrid,210,50,1050,0.4,1.0,0.08,1.0,1.0,0.5271,1,8,1.0,0.0
real,2428,korean,Localized_Hybrid,210,50,1050,0.4,1.0,0.08,1.0,1.0,0.5271,2,9,1.0,0.0
real,3606,hollywood,Popularity,623,147,1147,0.2,1.0,0.0136,1.0,0.2,0.1514,4,12,0.3,0.7
real,3606,hollywood,CF_ColdStart,623,147,1147,0.1,1.0,0.0068,1.0,0.125,0.0694,6,10,0.2,0.8
real,3606,hollywood,CBF,623,147,1147,0.7,1.0,0.0476,1.0,1.0,0.791,2,8,0.9,0.1
real,3606,hollywood,Affinity_Only,623,147,1147,0.4,1.0,0.0272,1.0,0.3333,0.347,1,5,1.0,0.0
real,3606,hollywood,NonLocal_Hybrid,623,147,1147,0.7,1.0,0.0476,1.0,1.0,0.7606,2,10,0.9,0.1
real,3606,hollywood,Localized_Hybrid,623,147,1147,0.8,1.0,0.0544,1.0,1.0,0.8205,1,10,1.0,0.0
real,4263,hollywood,Popularity,40,5,1005,0.0,0.5,0.0,0.0,0.0,0.0,5,10,0.1,0.9
real,4263,hollywood,CF_ColdStart,40,5,1005,0.1,0.5,0.2,1.0,0.1111,0.1021,3,12,0.8,0.2
real,4263,hollywood,CBF,40,5,1005,0.1,0.5,0.2,1.0,0.5,0.214,1,8,1.0,0.0
real,4263,hollywood,Affinity_Only,40,5,1005,0.0,0.5,0.0,0.0,0.0,0.0,1,6,1.0,0.0
real,4263,hollywood,NonLocal_Hybrid,40,5,1005,0.2,0.5,0.4,1.0,1.0,0.4372,1,7,1.0,0.0
real,4263,hollywood,Localized_Hybrid,40,5,1005,0.1,0.5,0.2,1.0,1.0,0.3392,1,8,1.0,0.0
real,4708,korean,Popularity,22,5,1005,0.0,0.5,0.0,0.0,0.0,0.0,5,11,0.0,1.0
