Metric,Model,Mean,CI_lower,CI_upper
Precision@10,Popularity,0.0831,0.0712,0.0951
Precision@10,CF_ColdStart,0.1078,0.0954,0.1202
Precision@10,CBF,0.0741,0.0628,0.0853
Precision@10,Affinity_Only,0.0768,0.0631,0.0906
Precision@10,NonLocal_Hybrid,0.127,0.1121,0.1418
Precision@10,Localized_Hybrid,0.1562,0.1393,0.173
Recall@10,Popularity,0.0486,0.0409,0.0563
Recall@10,CF_ColdStart,0.0796,0.0688,0.0904
Recall@10,CBF,0.0486,0.0405,0.0568
Recall@10,Affinity_Only,0.0477,0.0378,0.0577
Recall@10,NonLocal_Hybrid,0.0872,0.0759,0.0984
Recall@10,Localized_Hybrid,0.1076,0.0949,0.1203
HR@10,Popularity,0.466,0.4167,0.5153
HR@10,CF_ColdStart,0.5793,0.5306,0.6281
HR@10,CBF,0.4458,0.3967,0.495
HR@10,Affinity_Only,0.3728,0.325,0.4206
HR@10,NonLocal_Hybrid,0.6222,0.5743,0.6701
HR@10,Localized_Hybrid,0.6877,0.6419,0.7334
MRR@10,Popularity,0.1911,0.162,0.2203
MRR@10,CF_ColdStart,0.2869,0.2511,0.3227
MRR@10,CBF,0.1825,0.1529,0.2122
MRR@10,Affinity_Only,0.1496,0.1231,0.1762
MRR@10,NonLocal_Hybrid,0.3221,0.2844,0.3599
MRR@10,Localized_Hybrid,0.3653,0.3272,0.4034
NDCG@10,Popularity,0.0918,0.0783,0.1053
NDCG@10,CF_ColdStart,0.1292,0.1141,0.1442
NDCG@10,CBF,0.0837,0.0709,0.0965
NDCG@10,Affinity_Only,0.0818,0.0668,0.0968
NDCG@10,NonLocal_Hybrid,0.1519,0.1342,0.1696
NDCG@10,Localized_Hybrid,0.1838,0.1647,0.2029
