Metric,Model,Mean,CI_lower,CI_upper
Precision@10,Popularity,0.035,0.0294,0.0406
Precision@10,CF_ColdStart,0.0633,0.0559,0.0706
Precision@10,CBF,0.0208,0.0164,0.0251
Precision@10,Affinity_Only,0.0378,0.0316,0.0439
Precision@10,NonLocal_Hybrid,0.0595,0.0521,0.0669
Precision@10,Localized_Hybrid,0.067,0.0589,0.0751
Recall@10,Popularity,0.0807,0.0673,0.0941
Recall@10,CF_ColdStart,0.145,0.1276,0.1624
Recall@10,CBF,0.0502,0.0387,0.0616
Recall@10,Affinity_Only,0.0951,0.0783,0.112
Recall@10,NonLocal_Hybrid,0.1415,0.1232,0.1598
Recall@10,Localized_Hybrid,0.1587,0.1388,0.1787
HR@10,Popularity,0.305,0.2597,0.3503
HR@10,CF_ColdStart,0.49,0.4408,0.5392
HR@10,CBF,0.19,0.1514,0.2286
HR@10,Affinity_Only,0.3075,0.2621,0.3529
HR@10,NonLocal_Hybrid,0.4575,0.4085,0.5065
HR@10,Localized_Hybrid,0.495,0.4458,0.5442
MRR@10,Popularity,0.0938,0.0746,0.1129
MRR@10,CF_ColdStart,0.1972,0.1673,0.2271
MRR@10,CBF,0.0539,0.039,0.0687
MRR@10,Affinity_Only,0.1258,0.0999,0.1516
MRR@10,NonLocal_Hybrid,0.1776,0.1501,0.2052
MRR@10,Localized_Hybrid,0.2004,0.1706,0.2302
NDCG@10,Popularity,0.0578,0.048,0.0676
NDCG@10,CF_ColdStart,0.1171,0.1018,0.1323
NDCG@10,CBF,0.0341,0.026,0.0421
NDCG@10,Affinity_Only,0.0742,0.0607,0.0877
NDCG@10,NonLocal_Hybrid,0.1107,0.0954,0.1259
NDCG@10,Localized_Hybrid,0.1251,0.1083,0.1419
