Archetype,Model,Precision@10,NDCG@10
anime,CBF,0.013,0.0366
anime,CF,0.0022,0.0017
anime,Localized_Hybrid,0.0087,0.0142
anime,NonLocal_Hybrid,0.0043,0.0106
bollywood,CBF,0.0,0.0
bollywood,CF,0.0,0.0
bollywood,Localized_Hybrid,0.0024,0.0046
bollywood,NonLocal_Hybrid,0.0,0.0
hollywood,CBF,0.0072,0.0092
hollywood,CF,0.0,0.0
hollywood,Localized_Hybrid,0.0101,0.0182
hollywood,NonLocal_Hybrid,0.0087,0.0133
kdrama,CBF,0.0,0.0
kdrama,CF,0.0,0.0
kdrama,Localized_Hybrid,0.0048,0.0054
kdrama,NonLocal_Hybrid,0.0,0.0
mixed,CBF,0.0045,0.0049
mixed,CF,0.0,0.0
mixed,Localized_Hybrid,0.0,0.0
mixed,NonLocal_Hybrid,0.0,0.0
