Archetype,Model,Precision@10,HR@10,NDCG@10
anime,Affinity_Only,0.0551,0.3077,0.0739
anime,CBF,0.0641,0.3974,0.0776
anime,CF_ColdStart,0.0872,0.5385,0.1343
anime,Localized_Hybrid,0.1256,0.6026,0.1829
anime,NonLocal_Hybrid,0.1205,0.6154,0.168
anime,Popularity,0.059,0.4103,0.0642
bollywood,Affinity_Only,0.1812,0.6,0.1928
bollywood,CBF,0.0912,0.4875,0.104
bollywood,CF_ColdStart,0.0988,0.55,0.1209
bollywood,Localized_Hybrid,0.185,0.6875,0.2225
bollywood,NonLocal_Hybrid,0.1575,0.625,0.1713
bollywood,Popularity,0.0775,0.4375,0.1023
hollywood,Affinity_Only,0.0734,0.4173,0.0886
hollywood,CBF,0.0734,0.4317,0.0854
hollywood,CF_ColdStart,0.1094,0.5324,0.1244
hollywood,Localized_Hybrid,0.1518,0.7266,0.1862
hollywood,NonLocal_Hybrid,0.1302,0.6619,0.1611
hollywood,Popularity,0.0712,0.4173,0.0682
kdrama,Affinity_Only,0.0759,0.431,0.0858
kdrama,CBF,0.0466,0.2759,0.0529
kdrama,CF_ColdStart,0.0621,0.4138,0.0765
kdrama,Localized_Hybrid,0.1172,0.6207,0.1613
kdrama,NonLocal_Hybrid,0.1034,0.6379,0.1321
kdrama,Popularity,0.0603,0.3966,0.0612
mixed,Affinity_Only,0.035,0.25,0.0426
mixed,CBF,0.0475,0.25,0.044
mixed,CF_ColdStart,0.0825,0.5,0.105
mixed,Localized_Hybrid,0.1175,0.575,0.1357
mixed,NonLocal_Hybrid,0.0975,0.525,0.1169
mixed,Popularity,0.06,0.35,0.0645
