Archetype,Model,Precision@10,HR@10,NDCG@10
anime,Affinity_Only,0.0613,0.4875,0.1416
anime,CBF,0.0338,0.3125,0.0504
anime,CF_ColdStart,0.0925,0.6625,0.2012
anime,Localized_Hybrid,0.105,0.6625,0.2181
anime,NonLocal_Hybrid,0.0838,0.575,0.176
anime,Popularity,0.0425,0.3375,0.0647
bollywood,Affinity_Only,0.0312,0.2625,0.0634
bollywood,CBF,0.0325,0.275,0.0542
bollywood,CF_ColdStart,0.05,0.4125,0.0867
bollywood,Localized_Hybrid,0.0625,0.4875,0.1078
bollywood,NonLocal_Hybrid,0.0625,0.5,0.1095
bollywood,Popularity,0.02,0.1875,0.0429
hollywood,Affinity_Only,0.0157,0.1571,0.0301
hollywood,CBF,0.015,0.1429,0.0277
hollywood,CF_ColdStart,0.0493,0.4214,0.0875
hollywood,Localized_Hybrid,0.05,0.4143,0.0901
hollywood,NonLocal_Hybrid,0.0479,0.4,0.0858
hollywood,Popularity,0.0321,0.2929,0.0504
kdrama,Affinity_Only,0.075,0.55,0.1239
kdrama,CBF,0.01,0.1,0.014
kdrama,CF_ColdStart,0.06,0.45,0.0997
kdrama,Localized_Hybrid,0.0683,0.5333,0.1294
kdrama,NonLocal_Hybrid,0.0583,0.4167,0.1074
kdrama,Popularity,0.0367,0.3333,0.0644
mixed,Affinity_Only,0.025,0.2,0.0407
mixed,CBF,0.0075,0.075,0.0135
mixed,CF_ColdStart,0.085,0.6,0.1387
mixed,Localized_Hybrid,0.0575,0.4,0.09
mixed,NonLocal_Hybrid,0.0475,0.4,0.0744
mixed,Popularity,0.0575,0.475,0.0899
