Type,Key,Prior_HandSet,Derived_FromData
genre,Action,0.95,0.6279
genre,Adventure,0.85,0.673
genre,Animation,0.7,1.0
genre,Comedy,0.65,0.6321
genre,Crime,0.75,0.6724
genre,Documentary,0.2,0.869
genre,Drama,0.6,0.6566
genre,Family,0.35,0.7587
genre,Fantasy,0.8,0.7772
genre,History,0.3,0.6777
genre,Horror,0.4,0.7409
genre,Music,0.2,0.6803
genre,Mystery,0.55,0.6988
genre,Romance,0.4,0.6922
genre,Sci-Fi,1.0,0.6466
genre,Thriller,0.9,0.6765
genre,War,0.3,0.6535
genre,Western,0.15,0.6721
language,English,1.0,0.5364
language,Hindi,0.9,0.8352
language,Japanese,0.85,0.9767
language,Korean,0.8,1.0
language,Nepali,0.75,0.25
