Mix,Model,NDCG@10,Preference_Escape@10
baseline_design,Affinity_Only,0.0816,0.0
baseline_design,CBF,0.0835,0.258
baseline_design,CF_ColdStart,0.1291,0.5047
baseline_design,Localized_Hybrid,0.1835,0.0477
baseline_design,NonLocal_Hybrid,0.1516,0.3086
baseline_design,Popularity,0.0918,0.5071
hollywood_heavy,Affinity_Only,0.0745,0.0
hollywood_heavy,CBF,0.091,0.258
hollywood_heavy,CF_ColdStart,0.1343,0.502
hollywood_heavy,Localized_Hybrid,0.1951,0.0427
hollywood_heavy,NonLocal_Hybrid,0.1622,0.2993
hollywood_heavy,Popularity,0.0895,0.5193
regional_heavy,Affinity_Only,0.0961,0.0
regional_heavy,CBF,0.0797,0.2587
regional_heavy,CF_ColdStart,0.1277,0.5032
regional_heavy,Localized_Hybrid,0.1792,0.0528
regional_heavy,NonLocal_Hybrid,0.1467,0.3129
regional_heavy,Popularity,0.0955,0.4968
high_diversity,Affinity_Only,0.0706,0.0
high_diversity,CBF,0.0809,0.2775
high_diversity,CF_ColdStart,0.1244,0.5324
high_diversity,Localized_Hybrid,0.1743,0.0526
high_diversity,NonLocal_Hybrid,0.143,0.3497
high_diversity,Popularity,0.098,0.4949
uniform,Affinity_Only,0.0798,0.0
uniform,CBF,0.0776,0.2663
uniform,CF_ColdStart,0.1248,0.5168
uniform,Localized_Hybrid,0.1731,0.0529
uniform,NonLocal_Hybrid,0.1422,0.3303
uniform,Popularity,0.0954,0.4941
