Mix,Model,NDCG@10,Preference_Escape@10
baseline_design,Affinity_Only,0.0569,0.0
baseline_design,CBF,0.0369,0.1695
baseline_design,CF_ColdStart,0.1274,0.2793
baseline_design,Localized_Hybrid,0.1094,0.0148
baseline_design,NonLocal_Hybrid,0.1025,0.1555
baseline_design,Popularity,0.0613,0.411
hollywood_heavy,Affinity_Only,0.0452,0.0
hollywood_heavy,CBF,0.0375,0.1537
hollywood_heavy,CF_ColdStart,0.1191,0.2598
hollywood_heavy,Localized_Hybrid,0.0974,0.0116
hollywood_heavy,NonLocal_Hybrid,0.0934,0.1361
hollywood_heavy,Popularity,0.0583,0.4278
regional_heavy,Affinity_Only,0.0671,0.0
regional_heavy,CBF,0.0367,0.1804
regional_heavy,CF_ColdStart,0.1261,0.2973
regional_heavy,Localized_Hybrid,0.1129,0.0174
regional_heavy,NonLocal_Hybrid,0.1042,0.1666
regional_heavy,Popularity,0.0611,0.3992
high_diversity,Affinity_Only,0.0485,0.0
high_diversity,CBF,0.0277,0.209
high_diversity,CF_ColdStart,0.1237,0.307
high_diversity,Localized_Hybrid,0.1004,0.0193
high_diversity,NonLocal_Hybrid,0.0941,0.2076
high_diversity,Popularity,0.0675,0.4048
uniform,Affinity_Only,0.06,0.0
uniform,CBF,0.0324,0.1955
uniform,CF_ColdStart,0.13,0.3015
uniform,Localized_Hybrid,0.1118,0.0189
uniform,NonLocal_Hybrid,0.1032,0.189
uniform,Popularity,0.0655,0.3999
