Track,Lambda,UserId,Archetype,Precision@10,Precision@10_Ceiling,Recall@10,HR@10,MRR@10,NDCG@10,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Novelty@10
real,0.0,821,kdrama,0.1,0.4,0.25,1.0,0.1429,0.1301,6,7,0.6,0.4
real,0.05,821,kdrama,0.1,0.4,0.25,1.0,0.2,0.151,5,8,0.7,0.3
real,0.1,821,kdrama,0.1,0.4,0.25,1.0,0.3333,0.1952,4,8,0.8,0.2
real,0.15,821,kdrama,0.1,0.4,0.25,1.0,0.5,0.2463,5,11,0.8,0.2
real,0.2,821,kdrama,0.1,0.4,0.25,1.0,1.0,0.3904,4,13,0.9,0.1
real,0.3,821,kdrama,0.1,0.4,0.25,1.0,1.0,0.3904,3,13,1.0,0.0
real,0.4,821,kdrama,0.1,0.4,0.25,1.0,1.0,0.3904,2,13,1.0,0.0
real,0.5,821,kdrama,0.1,0.4,0.25,1.0,1.0,0.3904,2,13,1.0,0.0
real,0.0,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.05,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.1,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.15,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.2,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.3,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.4,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.5,1101,kdrama,0.1,0.5,0.2,1.0,0.5,0.214,1,6,1.0,0.0
real,0.0,1299,hollywood,0.2,1.0,0.125,1.0,0.3333,0.1952,2,11,0.9,0.1
real,0.05,1299,hollywood,0.2,1.0,0.125,1.0,0.3333,0.1952,2,11,0.9,0.1
real,0.1,1299,hollywood,0.2,1.0,0.125,1.0,0.3333,0.2048,2,11,0.9,0.1
real,0.15,1299,hollywood,0.2,1.0,0.125,1.0,0.3333,0.2048,1,11,1.0,0.0
