Track,Lambda,UserId,Archetype,Precision@10,Precision@10_Ceiling,Recall@10,HR@10,MRR@10,NDCG@10,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Preference_Escape@10
synthetic,0.0,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.05,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.1,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.15,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.2,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.3,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.4,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.5,900000,hollywood,0.0,0.6,0.0,0.0,0.0,0.0,1,9,1.0,0.0
synthetic,0.0,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,3,10,0.9,0.1
synthetic,0.05,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,2,10,0.9,0.1
synthetic,0.1,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,1,10,1.0,0.0
synthetic,0.15,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,1,10,1.0,0.0
synthetic,0.2,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,1,10,1.0,0.0
synthetic,0.3,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,1,10,1.0,0.0
synthetic,0.4,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,1,10,1.0,0.0
synthetic,0.5,900001,anime,0.1,0.2,0.5,1.0,1.0,0.6131,1,10,1.0,0.0
synthetic,0.0,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,3,10,0.9,0.1
synthetic,0.05,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,3,10,0.9,0.1
synthetic,0.1,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,2,10,1.0,0.0
synthetic,0.15,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,2,9,1.0,0.0
synthetic,0.2,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,2,9,1.0,0.0
synthetic,0.3,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,2,9,1.0,0.0
synthetic,0.4,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,1,9,1.0,0.0
synthetic,0.5,900002,anime,0.1,0.6,0.1667,1.0,0.5,0.1909,1,9,1.0,0.0
synthetic,0.0,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,9,0.9,0.1
synthetic,0.05,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.1,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.15,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.2,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.3,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.4,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.5,900003,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.0,900004,hollywood,0.1,0.3,0.3333,1.0,0.25,0.2021,3,11,0.7,0.3
synthetic,0.05,900004,hollywood,0.1,0.3,0.3333,1.0,0.1111,0.1413,3,11,0.7,0.3
synthetic,0.1,900004,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,2,10,0.9,0.1
synthetic,0.15,900004,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,9,1.0,0.0
synthetic,0.2,900004,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,9,1.0,0.0
synthetic,0.3,900004,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,9,1.0,0.0
synthetic,0.4,900004,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.5,900004,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,6,1.0,0.0
synthetic,0.0,900005,anime,0.1,0.3,0.3333,1.0,0.1429,0.1564,3,9,0.9,0.1
synthetic,0.05,900005,anime,0.1,0.3,0.3333,1.0,0.125,0.148,2,9,1.0,0.0
synthetic,0.1,900005,anime,0.1,0.3,0.3333,1.0,0.1429,0.1564,2,9,1.0,0.0
synthetic,0.15,900005,anime,0.1,0.3,0.3333,1.0,0.1667,0.1672,2,9,1.0,0.0
synthetic,0.2,900005,anime,0.1,0.3,0.3333,1.0,0.1667,0.1672,2,9,1.0,0.0
synthetic,0.3,900005,anime,0.1,0.3,0.3333,1.0,0.1667,0.1672,2,9,1.0,0.0
synthetic,0.4,900005,anime,0.1,0.3,0.3333,1.0,0.125,0.148,2,9,1.0,0.0
synthetic,0.5,900005,anime,0.1,0.3,0.3333,1.0,0.1111,0.1413,2,10,1.0,0.0
synthetic,0.0,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.05,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.1,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.15,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.2,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.3,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.4,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.5,900006,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.0,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,3,9,0.8,0.2
synthetic,0.05,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,3,8,0.9,0.1
synthetic,0.1,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,8,1.0,0.0
synthetic,0.15,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,8,1.0,0.0
synthetic,0.2,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,8,1.0,0.0
synthetic,0.3,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,8,1.0,0.0
synthetic,0.4,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,8,1.0,0.0
synthetic,0.5,900007,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,9,1.0,0.0
synthetic,0.0,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,11,0.9,0.1
synthetic,0.05,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,11,0.9,0.1
synthetic,0.1,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.15,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.2,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.3,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.4,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.5,900008,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.0,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,5,9,0.5,0.5
synthetic,0.05,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,4,10,0.6,0.4
synthetic,0.1,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,3,10,0.7,0.3
synthetic,0.15,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,2,11,0.8,0.2
synthetic,0.2,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.3,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.4,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.5,900009,mixed,0.0,0.7,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.0,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,7,0.8,0.2
synthetic,0.05,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,8,0.9,0.1
synthetic,0.1,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.15,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.2,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.3,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,8,1.0,0.0
synthetic,0.4,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,11,1.0,0.0
synthetic,0.5,900010,bollywood,0.0,0.2,0.0,0.0,0.0,0.0,2,13,1.0,0.0
synthetic,0.0,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,2,10,0.8,0.2
synthetic,0.05,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,2,10,0.9,0.1
synthetic,0.1,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.15,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.2,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.3,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.4,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.5,900011,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.0,900012,korean,0.0,0.2,0.0,0.0,0.0,0.0,5,9,0.7,0.3
synthetic,0.05,900012,korean,0.0,0.2,0.0,0.0,0.0,0.0,4,9,0.8,0.2
synthetic,0.1,900012,korean,0.0,0.2,0.0,0.0,0.0,0.0,4,9,0.8,0.2
synthetic,0.15,900012,korean,0.1,0.2,0.5,1.0,0.1111,0.1846,3,8,0.9,0.1
synthetic,0.2,900012,korean,0.1,0.2,0.5,1.0,0.2,0.2372,2,8,1.0,0.0
synthetic,0.3,900012,korean,0.1,0.2,0.5,1.0,0.25,0.2641,2,8,1.0,0.0
synthetic,0.4,900012,korean,0.1,0.2,0.5,1.0,0.3333,0.3066,2,8,1.0,0.0
synthetic,0.5,900012,korean,0.1,0.2,0.5,1.0,0.3333,0.3066,2,10,1.0,0.0
synthetic,0.0,900013,anime,0.2,0.7,0.2857,1.0,0.5,0.2713,2,10,1.0,0.0
synthetic,0.05,900013,anime,0.2,0.7,0.2857,1.0,0.5,0.2798,1,10,1.0,0.0
synthetic,0.1,900013,anime,0.2,0.7,0.2857,1.0,0.5,0.2798,1,10,1.0,0.0
synthetic,0.15,900013,anime,0.2,0.7,0.2857,1.0,0.3333,0.2438,1,10,1.0,0.0
synthetic,0.2,900013,anime,0.2,0.7,0.2857,1.0,0.3333,0.2438,1,10,1.0,0.0
synthetic,0.3,900013,anime,0.2,0.7,0.2857,1.0,0.3333,0.2558,1,9,1.0,0.0
synthetic,0.4,900013,anime,0.2,0.7,0.2857,1.0,0.3333,0.2558,1,9,1.0,0.0
synthetic,0.5,900013,anime,0.2,0.7,0.2857,1.0,0.5,0.2918,1,9,1.0,0.0
synthetic,0.0,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,4,15,0.6,0.4
synthetic,0.05,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,3,15,0.7,0.3
synthetic,0.1,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,2,15,0.8,0.2
synthetic,0.15,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,2,15,0.9,0.1
synthetic,0.2,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,2,15,0.9,0.1
synthetic,0.3,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.4,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.5,900014,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.0,900015,hollywood,0.1,0.2,0.5,1.0,0.25,0.2641,2,11,0.8,0.2
synthetic,0.05,900015,hollywood,0.1,0.2,0.5,1.0,0.3333,0.3066,1,11,0.9,0.1
synthetic,0.1,900015,hollywood,0.1,0.2,0.5,1.0,0.3333,0.3066,1,9,1.0,0.0
synthetic,0.15,900015,hollywood,0.1,0.2,0.5,1.0,0.3333,0.3066,1,9,1.0,0.0
synthetic,0.2,900015,hollywood,0.1,0.2,0.5,1.0,0.3333,0.3066,1,9,1.0,0.0
synthetic,0.3,900015,hollywood,0.1,0.2,0.5,1.0,0.3333,0.3066,1,9,1.0,0.0
synthetic,0.4,900015,hollywood,0.1,0.2,0.5,1.0,0.3333,0.3066,1,9,1.0,0.0
synthetic,0.5,900015,hollywood,0.1,0.2,0.5,1.0,0.3333,0.3066,1,9,1.0,0.0
synthetic,0.0,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,3,12,0.7,0.3
synthetic,0.05,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.1,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.15,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.2,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.3,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.4,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.5,900016,hollywood,0.0,0.2,0.0,0.0,0.0,0.0,1,12,1.0,0.0
synthetic,0.0,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,3,12,0.8,0.2
synthetic,0.05,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,2,14,0.9,0.1
synthetic,0.1,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,14,1.0,0.0
synthetic,0.15,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,14,1.0,0.0
synthetic,0.2,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,14,1.0,0.0
synthetic,0.3,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,14,1.0,0.0
synthetic,0.4,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,14,1.0,0.0
synthetic,0.5,900017,mixed,0.0,0.3,0.0,0.0,0.0,0.0,1,14,1.0,0.0
synthetic,0.0,900018,bollywood,0.1,0.7,0.1429,1.0,0.25,0.1184,1,9,1.0,0.0
synthetic,0.05,900018,bollywood,0.1,0.7,0.1429,1.0,0.25,0.1184,1,9,1.0,0.0
synthetic,0.1,900018,bollywood,0.1,0.7,0.1429,1.0,0.25,0.1184,1,9,1.0,0.0
synthetic,0.15,900018,bollywood,0.1,0.7,0.1429,1.0,0.25,0.1184,1,9,1.0,0.0
synthetic,0.2,900018,bollywood,0.1,0.7,0.1429,1.0,0.25,0.1184,1,9,1.0,0.0
synthetic,0.3,900018,bollywood,0.1,0.7,0.1429,1.0,0.3333,0.1374,1,9,1.0,0.0
synthetic,0.4,900018,bollywood,0.1,0.7,0.1429,1.0,0.3333,0.1374,2,8,1.0,0.0
synthetic,0.5,900018,bollywood,0.2,0.7,0.2857,1.0,0.25,0.2051,2,8,1.0,0.0
synthetic,0.0,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,10,0.9,0.1
synthetic,0.05,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,10,0.9,0.1
synthetic,0.1,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,10,0.9,0.1
synthetic,0.15,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,2,10,0.9,0.1
synthetic,0.2,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.3,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.4,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.5,900019,hollywood,0.0,0.5,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.0,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,2,10,0.8,0.2
synthetic,0.05,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,2,10,0.9,0.1
synthetic,0.1,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.15,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.2,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.3,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.4,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.5,900020,mixed,0.0,0.4,0.0,0.0,0.0,0.0,1,7,1.0,0.0
synthetic,0.0,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,11,0.9,0.1
synthetic,0.05,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,11,0.9,0.1
synthetic,0.1,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.15,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.2,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.3,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.4,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.5,900021,hollywood,0.0,0.3,0.0,0.0,0.0,0.0,1,10,1.0,0.0
synthetic,0.0,900022,anime,0.1,0.4,0.25,1.0,0.25,0.1681,3,7,0.9,0.1
synthetic,0.05,900022,anime,0.1,0.4,0.25,1.0,0.25,0.1681,2,8,1.0,0.0
synthetic,0.1,900022,anime,0.1,0.4,0.25,1.0,0.25,0.1681,2,7,1.0,0.0
synthetic,0.15,900022,anime,0.1,0.4,0.25,1.0,0.25,0.1681,2,7,1.0,0.0
synthetic,0.2,900022,anime,0.1,0.4,0.25,1.0,0.25,0.1681,2,7,1.0,0.0
synthetic,0.3,900022,anime,0.2,0.4,0.5,1.0,0.25,0.2913,2,8,1.0,0.0
synthetic,0.4,900022,anime,0.2,0.4,0.5,1.0,0.25,0.3072,2,7,1.0,0.0
synthetic,0.5,900022,anime,0.2,0.4,0.5,1.0,0.3333,0.3342,2,9,1.0,0.0
synthetic,0.0,900023,hollywood,0.0,0.4,0.0,0.0,0.0,0.0,2,12,0.6,0.4
synthetic,0.05,900023,hollywood,0.1,0.4,0.25,1.0,0.1,0.1128,2,12,0.8,0.2
synthetic,0.1,900023,hollywood,0.1,0.4,0.25,1.0,0.1111,0.1175,1,11,0.9,0.1
synthetic,0.15,900023,hollywood,0.1,0.4,0.25,1.0,0.1111,0.1175,1,12,1.0,0.0
synthetic,0.2,900023,hollywood,0.1,0.4,0.25,1.0,0.1,0.1128,1,12,1.0,0.0
synthetic,0.3,900023,hollywood,0.1,0.4,0.25,1.0,0.1,0.1128,1,12,1.0,0.0
synthetic,0.4,900023,hollywood,0.0,0.4,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.5,900023,hollywood,0.0,0.4,0.0,0.0,0.0,0.0,1,11,1.0,0.0
synthetic,0.0,900024,hollywood,0.0,0.4,0.0,0.0,0.0,0.0,1,5,1.0,0.0
synthetic,0.05,900024,hollywood,0.0,0.4,0.0,0.0,0.0,0.0,1,5,1.0,0.0
