UserId,Model,Archetype,Support_History_Count,Heldout_Positive_Count,Candidate_Count,TopK_MovieIds,Precision@10,Recall@10,NDCG@10,Novelty@10,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Hits@10
1000000,CF,A_Techie,26,4,999,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000000,CBF,A_Techie,26,4,999,110593|104451|83976|100370|4119|2073|104491|47148|161842|106549,0.0,0.0,0.0,0.0,1,2,1.0,0
1000000,NonLocal_Hybrid,A_Techie,26,4,999,6650|148626|45642|128912|31374|2618|114028|356|1236|1279,0.0,0.0,0.0,0.0,1,3,1.0,0
1000000,Localized_Hybrid,A_Techie,26,4,999,1203|318|6650|148626|45642|128912|31374|356|2618|1193,0.0,0.0,0.0,0.0,1,5,1.0,0
1000001,CF,A_Techie,26,5,994,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000001,CBF,A_Techie,26,5,994,8330|26842|8628|697|4956|105338|33679|1430|118266|91688,0.0,0.0,0.0,0.0,1,3,1.0,0
1000001,NonLocal_Hybrid,A_Techie,26,5,994,58559|1203|57453|50|1193|318|8330|49530|26842|593,0.0,0.0,0.0,0.0,1,9,1.0,0
1000001,Localized_Hybrid,A_Techie,26,5,994,1203|318|50|58559|1193|593|858|2959|57453|70286,0.0,0.0,0.0,0.0,1,7,1.0,0
1000002,CF,A_Techie,27,6,1004,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000002,CBF,A_Techie,27,6,1004,26770|88274|102760|8632|164314|113176|170549|6730|8823|55955,0.0,0.0,0.0,0.0,1,2,1.0,0
1000002,NonLocal_Hybrid,A_Techie,27,6,1004,1203|1193|2959|1704|164260|78921|2329|112552|6650|148626,0.0,0.0,0.0,0.0,1,2,1.0,0
1000002,Localized_Hybrid,A_Techie,27,6,1004,1203|1193|2959|318|1704|164260|2329|112552|78921|70286,0.0,0.0,0.0,0.0,1,4,1.0,0
1000003,CF,A_Techie,22,6,1003,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000003,CBF,A_Techie,22,6,1003,165897|6153|2060|165903|172049|172065|6188|100401|96306|6199,0.0,0.0,0.0,0.0,1,1,1.0,0
1000003,NonLocal_Hybrid,A_Techie,22,6,1003,171285|120807|141135|119153|118930|162210|162344|100194|148626|118888,0.0,0.0,0.0,0.0,1,2,1.0,0
1000003,Localized_Hybrid,A_Techie,22,6,1003,171285|120807|141135|1203|119153|118930|70286|318|162210|148626,0.0,0.0,0.0,0.0,1,5,1.0,0
1000004,CF,A_Techie,21,5,997,318|1203|858|50|164041|527|1193|593|2324|1221,0.0,0.0,0.0,0.1,2,7,0.9,0
1000004,CBF,A_Techie,21,5,997,8196|159781|6193|104542|2215|49347|155894|127296|31049|6551,0.0,0.0,0.0,0.0,1,3,1.0,0
1000004,NonLocal_Hybrid,A_Techie,21,5,997,164041|1203|50|318|593|678|1193|2959|48516|140174,0.0,0.0,0.0,0.0,1,6,1.0,0
1000004,Localized_Hybrid,A_Techie,21,5,997,318|1203|164041|50|593|1193|858|70286|2959|678,0.0,0.0,0.0,0.0,1,6,1.0,0
1000005,CF,A_Techie,21,5,1001,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000005,CBF,A_Techie,21,5,1001,124931|124935|129032|127009|165925|124973|124999|59465|125001|55373,0.0,0.0,0.0,0.0,1,1,1.0,0
1000005,NonLocal_Hybrid,A_Techie,21,5,1001,1203|1193|2959|1704|167388|2329|112552|2858|129032|134115,0.0,0.0,0.0,0.0,1,1,1.0,0
1000005,Localized_Hybrid,A_Techie,21,5,1001,1203|1193|2959|318|1704|70286|167388|2329|112552|2858,0.0,0.0,0.0,0.0,1,3,1.0,0
1000006,CF,A_Techie,24,3,998,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000006,CBF,A_Techie,24,3,998,59404|118816|59435|6190|49200|96314|104506|41025|53318|6218,0.0,0.0,0.0,0.0,1,2,1.0,0
1000006,NonLocal_Hybrid,A_Techie,24,3,998,1203|356|128862|3307|1193|71413|148626|318|909|2959,0.0,0.0,0.0,0.0,1,5,1.0,0
1000006,Localized_Hybrid,A_Techie,24,3,998,1203|70286|318|1193|356|2959|128862|3307|858|1704,0.0,0.0,0.0,0.0,1,5,1.0,0
1000007,CF,A_Techie,27,7,1001,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000007,CBF,A_Techie,27,7,1001,8330|26842|8628|697|4956|105338|33679|1430|118266|91688,0.0,0.0,0.0,0.0,1,3,1.0,0
1000007,NonLocal_Hybrid,A_Techie,27,7,1001,1203|78921|6650|148626|78646|128912|1193|2959|70595|64511,0.0,0.0,0.0,0.0,1,3,1.0,0
1000007,Localized_Hybrid,A_Techie,27,7,1001,1203|318|1193|50|78921|2959|6650|148626|70286|78646,0.0,0.0,0.0,0.0,1,6,1.0,0
1000009,CF,A_Techie,29,6,1002,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000009,CBF,A_Techie,29,6,1002,110593|77831|83976|116752|73744|75816|47148|149552|8240|118834,0.0,0.0,0.0,0.0,1,2,1.0,0
1000009,NonLocal_Hybrid,A_Techie,29,6,1002,318|1203|858|164260|78921|1193|50|6650|148626|45642,0.0,0.0,0.0,0.0,1,4,1.0,0
1000009,Localized_Hybrid,A_Techie,29,6,1002,318|1203|858|50|1193|2959|593|1221|164260|70286,0.0,0.0,0.0,0.0,1,6,1.0,0
1000010,CF,A_Techie,26,6,1000,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000010,CBF,A_Techie,26,6,1000,98304|96259|83972|40966|83974|8201|102407|8208|124945|172055,0.0,0.0,0.0,0.0,1,1,1.0,0
1000010,NonLocal_Hybrid,A_Techie,26,6,1000,41688|356|25886|165709|4995|32844|7944|63082|2927|1203,0.0,0.0,0.0,0.0,1,4,1.0,0
1000010,Localized_Hybrid,A_Techie,26,6,1000,1203|41688|356|318|25886|165709|4995|32844|1193|7944,0.0,0.0,0.0,0.0,1,5,1.0,0
1000011,CF,A_Techie,22,5,1002,318|1203|858|50|527|1193|26756|593|2324|1221,0.0,0.0,0.0,0.1,2,6,0.9,0
1000011,CBF,A_Techie,22,5,1002,135168|8194|30723|151557|137226|26634|137228|145418|141329|26641,0.0,0.0,0.0,0.0,1,1,1.0,0
1000011,NonLocal_Hybrid,A_Techie,22,5,1002,1203|318|1193|26756|2959|143990|1704|135166|858|2329,0.0,0.0,0.0,0.0,1,2,1.0,0
1000011,Localized_Hybrid,A_Techie,22,5,1002,318|1203|1193|26756|858|2959|50|143990|1704|135166,0.0,0.0,0.0,0.0,1,3,1.0,0
1000012,CF,A_Techie,21,2,998,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000012,CBF,A_Techie,21,2,998,110593|104451|6150|77831|83976|116752|73744|4119|75816|104491,0.0,0.0,0.0,0.0,1,2,1.0,0
1000012,NonLocal_Hybrid,A_Techie,21,2,998,1203|1193|2959|164260|78921|1704|6650|148626|25881|78646,0.0,0.0,0.0,0.0,1,3,1.0,0
1000012,Localized_Hybrid,A_Techie,21,2,998,1203|318|1193|2959|1704|164260|78921|50|858|2329,0.0,0.0,0.0,0.0,1,4,1.0,0
1000014,CF,A_Techie,19,3,997,318|1203|858|50|172661|527|1193|593|2324|1221,0.0,0.0,0.0,0.1,2,6,0.9,0
1000014,CBF,A_Techie,19,3,997,4497|4492|2713|166589|7846|103249|56174|89072|73168|139012,0.0,0.0,0.0,0.0,1,6,1.0,0
1000014,NonLocal_Hybrid,A_Techie,19,3,997,1203|318|172661|1193|50|58559|858|2959|141251|1704,0.0,0.0,0.0,0.0,1,4,1.0,0
1000014,Localized_Hybrid,A_Techie,19,3,997,70286|318|1203|172661|858|50|1193|2959|58559|593,0.0,0.0,0.0,0.0,1,6,1.0,0
1000015,CF,A_Techie,20,3,1000,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000015,CBF,A_Techie,20,3,1000,6327|146196|103994|79570|90211|133239|73872|102596|8464|43391,0.0,0.0,0.0,0.0,1,7,1.0,0
1000015,NonLocal_Hybrid,A_Techie,20,3,1000,95218|77233|356|146196|3307|171349|4183|86290|133215|909,0.0,0.0,0.0,0.0,1,5,1.0,0
1000015,Localized_Hybrid,A_Techie,20,3,1000,95218|356|77233|1203|3307|70286|171349|318|4183|148626,0.0,0.0,0.0,0.0,1,8,1.0,0
1000016,CF,A_Techie,32,6,1000,318|1203|858|50|122282|527|1193|593|2324|1221,0.0,0.0,0.0,0.1,2,6,0.9,0
1000016,CBF,A_Techie,32,6,1000,145418|26634|114702|26641|141329|118806|61475|165925|73772|26672,0.0,0.0,0.0,0.0,1,1,1.0,0
1000016,NonLocal_Hybrid,A_Techie,32,6,1000,1203|122282|1193|2959|1704|2329|112552|2858|318|1246,0.0,0.0,0.0,0.0,1,2,1.0,0
1000016,Localized_Hybrid,A_Techie,32,6,1000,1203|122282|318|1193|70286|2959|1704|2329|112552|858,0.0,0.0,0.0,0.0,1,3,1.0,0
1000017,CF,A_Techie,35,3,999,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000017,CBF,A_Techie,35,3,999,110593|165895|77831|73744|4119|2073|75816|104491|47148|106549,0.0,0.0,0.0,0.0,1,2,1.0,0
1000017,NonLocal_Hybrid,A_Techie,35,3,999,1203|318|164260|1193|78921|148626|45642|25881|78646|2959,0.0,0.0,0.0,0.0,1,4,1.0,0
1000017,Localized_Hybrid,A_Techie,35,3,999,318|1203|70286|1193|858|50|2959|164260|78921|1704,0.0,0.0,0.0,0.0,1,5,1.0,0
1000018,CF,A_Techie,25,6,1002,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000018,CBF,A_Techie,25,6,1002,104451|92165|77831|83976|100370|2073|75816|104491|47148|8240,0.0,0.0,0.0,0.0,1,2,1.0,0
1000018,NonLocal_Hybrid,A_Techie,25,6,1002,1203|318|1193|164260|2959|148626|45642|25881|50|128912,0.0,0.0,0.0,0.0,1,5,1.0,0
1000018,Localized_Hybrid,A_Techie,25,6,1002,1203|318|1193|50|858|2959|70286|164260|1704|593,0.0,0.0,0.0,0.0,1,6,1.0,0
1000019,CF,A_Techie,27,6,1000,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000019,CBF,A_Techie,27,6,1000,40964|4410|4524|6699|160358|146232|3554|175589|5706|106542,0.0,0.0,0.0,0.0,1,4,1.0,0
1000019,NonLocal_Hybrid,A_Techie,27,6,1000,1203|8232|356|148626|128862|3307|1193|171349|57453|2959,0.0,0.0,0.0,0.0,1,5,1.0,0
1000019,Localized_Hybrid,A_Techie,27,6,1000,1203|318|1193|8232|356|2959|148626|70286|128862|858,0.0,0.0,0.0,0.0,1,6,1.0,0
1000020,CF,A_Techie,26,5,1001,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000020,CBF,A_Techie,26,5,1001,110593|104451|6150|165895|83976|4119|2073|104491|149552|8240,0.0,0.0,0.0,0.0,1,2,1.0,0
1000020,NonLocal_Hybrid,A_Techie,26,5,1001,1203|1193|2959|164260|78921|148626|1704|45642|25881|72624,0.0,0.0,0.0,0.0,1,2,1.0,0
1000020,Localized_Hybrid,A_Techie,26,5,1001,1203|70286|318|1193|2959|1704|164260|50|78921|2329,0.0,0.0,0.0,0.0,1,5,1.0,0
1000022,CF,A_Techie,30,6,1001,318|1203|858|50|122282|527|1193|593|2324|1221,0.0,0.0,0.0,0.1,2,6,0.9,0
1000022,CBF,A_Techie,30,6,1001,124931|124935|129032|32779|118806|165925|124973|122936|32834|124999,0.0,0.0,0.0,0.0,1,1,1.0,0
1000022,NonLocal_Hybrid,A_Techie,30,6,1001,1203|122282|1193|2959|1704|34482|2329|112552|2858|129032,0.0,0.0,0.0,0.0,1,1,1.0,0
1000022,Localized_Hybrid,A_Techie,30,6,1001,1203|122282|1193|2959|318|1704|174565|34482|2329|112552,0.1,0.1667,0.1009,0.0,1,3,1.0,1
1000023,CF,A_Techie,23,4,1003,318|1203|858|50|527|1193|593|2324|1221|79132,0.0,0.0,0.0,0.1,2,7,0.9,0
1000023,CBF,A_Techie,23,4,1003,77831|83976|155659|73744|155665|116752|155671|2073|75816|8240,0.0,0.0,0.0,0.0,1,2,1.0,0
1000023,NonLocal_Hybrid,A_Techie,23,4,1003,1203|318|1193|2959|1704|858|2329|112552|78921|2858,0.0,0.0,0.0,0.0,1,3,1.0,0
1000023,Localized_Hybrid,A_Techie,23,4,1003,318|1203|1193|858|2959|50|1704|70286|2329|112552,0.0,0.0,0.0,0.0,1,4,1.0,0
1000024,CF,A_Techie,29,2,998,318|1203|858|50|122282|527|1193|593|2324|1221,0.0,0.0,0.0,0.1,2,6,0.9,0
1000024,CBF,A_Techie,29,2,998,124931|124935|129032|118806|127009|167976|124973|167982|104498|122936,0.0,0.0,0.0,0.0,1,1,1.0,0
1000024,NonLocal_Hybrid,A_Techie,29,2,998,1203|122282|1193|2959|1704|2329|112552|104944|2858|129032,0.0,0.0,0.0,0.0,1,1,1.0,0
1000024,Localized_Hybrid,A_Techie,29,2,998,1203|122282|1193|318|2959|1704|2329|112552|104944|2858,0.0,0.0,0.0,0.0,1,2,1.0,0
1000026,CF,A_Techie,23,5,1002,318|1203|858|50|527|1193|141373|26756|593|2324,0.1,0.2,0.1131,0.1,2,7,0.9,1
